baker_first_name,baker_full_name,baker_age,baker_occupation,hometown,series,episode,technical,result,signature_bake,show_stopper
Ali,Ali Imdad,25,Charity worker,"Saltley, Birmingham",4,1,11,IN,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
Ali,Ali Imdad,25,Charity worker,"Saltley, Birmingham",4,2,9,IN,Italian Grissini,Sweet and Savoury Yin Yang Bread
Ali,Ali Imdad,25,Charity worker,"Saltley, Birmingham",4,3,5,IN,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops
Ali,Ali Imdad,25,Charity worker,"Saltley, Birmingham",4,4,8,OUT,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha"
Alice,Alice Fevronia,28,Geography teacher,Essex,10,1,5,IN,NA,NA
Alice,Alice Fevronia,28,Geography teacher,Essex,10,2,1,STAR BAKER,NA,NA
Alice,Alice Fevronia,28,Geography teacher,Essex,10,3,7,IN,NA,NA
Alice,Alice Fevronia,28,Geography teacher,Essex,10,4,8,IN,NA,NA
Alice,Alice Fevronia,28,Geography teacher,Essex,10,5,6,IN,NA,NA
Alice,Alice Fevronia,28,Geography teacher,Essex,10,6,1,IN,NA,NA
Alice,Alice Fevronia,28,Geography teacher,Essex,10,7,6,IN,NA,NA
Alice,Alice Fevronia,28,Geography teacher,Essex,10,8,3,IN,NA,NA
Alice,Alice Fevronia,28,Geography teacher,Essex,10,9,4,STAR BAKER,NA,NA
Alice,Alice Fevronia,28,Geography teacher,Essex,10,10,2,Runner-up,NA,NA
Alvin,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",6,1,2,IN,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau
Alvin,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",6,2,6,IN,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps
Alvin,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",6,3,4,IN,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia
Alvin,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",6,4,9,IN,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes
Alvin,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",6,5,8,IN,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
Alvin,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",6,6,6,OUT,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
Amelia,Amelia LeBruin,24,Fashion designer,Halifax,10,1,4,IN,NA,NA
Amelia,Amelia LeBruin,24,Fashion designer,Halifax,10,2,9,IN,NA,NA
Amelia,Amelia LeBruin,24,Fashion designer,Halifax,10,3,11,OUT,NA,NA
Andrew,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,1,12,IN,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake
Andrew,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,2,4,IN,Beehive Biscuits,Punting in Cambridge
Andrew,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,3,2,IN,Chocolate Barmbrack Bread,Braided Harvest Bread Basket
Andrew,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,4,4,IN,Yorkshire 'Tapas' Puddings,Churros Window Box
Andrew,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,5,6,IN,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites
Andrew,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,6,6,IN,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio
Andrew,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,7,1,STAR BAKER,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes
Andrew,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,8,2,IN,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane
Andrew,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,9,2,STAR BAKER,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants
Andrew,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",7,10,1,Runner-up,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic
Annetha,Annetha Mills,30,Midwife,Essex,1,1,2,IN,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
Annetha,Annetha Mills,30,Midwife,Essex,1,2,7,OUT,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs
Antony,Antony Amourdoux,30,Banker,London,9,1,12,IN,NA,NA
Antony,Antony Amourdoux,30,Banker,London,9,2,9,IN,NA,NA
Antony,Antony Amourdoux,30,Banker,London,9,3,8,OUT,NA,NA
Beca,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,1,8,IN,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence
Beca,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,2,11,IN,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath
Beca,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,3,10,IN,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread
Beca,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,4,2,IN,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast
Beca,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,5,5,IN,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece
Beca,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,6,6,IN,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
Beca,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,7,1,IN,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
Beca,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,8,4,IN,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake
Beca,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,9,3,OUT,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake
Ben,Ben Frazer,31,Graphic Designer,Northampton,2,1,2,IN,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream
Ben,Ben Frazer,31,Graphic Designer,Northampton,2,2,1,IN,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts
Ben,Ben Frazer,31,Graphic Designer,Northampton,2,3,3,IN,"Walnut, Raisin and Rosemary Loaf",NA
Ben,Ben Frazer,31,Graphic Designer,Northampton,2,4,5,OUT,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
Benjamina,Benjamina Ebuehi,23,Teaching assistant,South London,7,1,6,IN,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream
Benjamina,Benjamina Ebuehi,23,Teaching assistant,South London,7,2,3,IN,Bouquet Biscuits,"New York, New York"
Benjamina,Benjamina Ebuehi,23,Teaching assistant,South London,7,3,6,IN,"Chocolate, Tahini and Almond Babka",Braided Bread Heart
Benjamina,Benjamina Ebuehi,23,Teaching assistant,South London,7,4,1,STAR BAKER,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros
Benjamina,Benjamina Ebuehi,23,Teaching assistant,South London,7,5,5,IN,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups
Benjamina,Benjamina Ebuehi,23,Teaching assistant,South London,7,6,2,IN,Grapefruit and Ginger Meringue Pie,Floral Tea Cake
Benjamina,Benjamina Ebuehi,23,Teaching assistant,South London,7,7,3,IN,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake
Benjamina,Benjamina Ebuehi,23,Teaching assistant,South London,7,8,4,OUT,Mexican Adventure,Tudor Garden
Brendan,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,3,1,10,IN,"Plum, Sour Cherry & Walnut",NA
Brendan,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,3,2,4,IN,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
Brendan,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,3,3,9,IN,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart"
Brendan,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,3,4,1,STAR BAKER,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise"
Brendan,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,3,5,3,IN,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie
Brendan,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,3,6,1,STAR BAKER,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel"
Brendan,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,3,7,4,IN,Chelsea Bunskis,Black Forest Christmas Stollen
Brendan,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,3,8,2,IN,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House
Brendan,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,3,9,3,IN,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré
Brendan,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,3,10,2,Runner-up,Potato and Pepper Pithivier,Family Reunion Chiffon Cake
Briony,Briony Williams,33,Full-time parent,Bristol,9,1,2,IN,NA,NA
Briony,Briony Williams,33,Full-time parent,Bristol,9,2,5,IN,NA,NA
Briony,Briony Williams,33,Full-time parent,Bristol,9,3,9,IN,NA,NA
Briony,Briony Williams,33,Full-time parent,Bristol,9,4,5,IN,NA,NA
Briony,Briony Williams,33,Full-time parent,Bristol,9,5,6,IN,NA,NA
Briony,Briony Williams,33,Full-time parent,Bristol,9,6,1,STAR BAKER,NA,NA
Briony,Briony Williams,33,Full-time parent,Bristol,9,7,5,IN,NA,NA
Briony,Briony Williams,33,Full-time parent,Bristol,9,8,1,IN,NA,NA
Briony,Briony Williams,33,Full-time parent,Bristol,9,9,3,OUT,NA,NA
Candice,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,1,5,IN,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
Candice,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,2,8,STAR BAKER,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet
Candice,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,3,3,IN,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist
Candice,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,4,2,IN,Yorkshire Wellingtons,Two-Way Peanut Butter Churros
Candice,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,5,2,STAR BAKER,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups"
Candice,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,6,5,IN,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake
Candice,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,7,2,IN,Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse
Candice,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,8,1,STAR BAKER,Cheesy Cheeky Fish Pies,Peacock
Candice,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,9,3,IN,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies
Candice,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,10,2,WINNER,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens
Cathryn,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,1,5,IN,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake
Cathryn,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,2,8,IN,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels"
